"HOUR","delays_dep","delays_arr"
"1",111.969629756014,123.599983304812
"10",5.46634450470496,39.4822401465945
"11",6.68556696394439,43.7715236643012
"12",7.90355192351661,45.5730072953256
"13",8.81518041278501,48.1664141316031
"14",10.3556341829085,48.0297227913988
"15",11.8875089388655,50.1953645039698
"16",11.8901702007064,49.6693305171661
"17",13.2219044227817,52.6840992280995
"18",15.3495074653679,55.177232246435
"19",16.8870091508128,56.8276385790287
"2",122.731496488385,178.640189833895
"20",22.7959166547199,58.9573251464698
"21",23.0487070825976,62.1408795461687
"22",38.0540405011241,65.4466511745208
"23",60.0668069323038,69.7827554627934
"24",70.4318618042226,76.9834437086093
"3",95.8199279711885,224.706573632023
"4",3.37050147492625,238.750968992248
"5",-4.25513778371702,55.2221436151397
"6",-1.62883978716784,39.0523737117756
"7",0.10368216166705,37.2416390728477
"8",1.76219658789379,35.1281777605278
"9",3.75486259629758,37.7822093825457
